LotNum	Title	Description	LowEst	HighEst

2	PORTMEIRON BOTANIC GARDEN LARGE SERVING BOWLS 6pc	"Portmeiron oven to table Botanic Garden serving pieces: Rectangular 12"" x 10"" 2"", Round 13"" x 3"", Oval 16"" x 10.5"" and Oval 11"" x 7 1/4"". Sold together with a pair of matching salt and pepper shakers. All in good condition with little or no signs of use. Weight 14. 7 lbs."	150.00	250.00
3	TWO METAL ENAMEL & BLACK LACQUER PANELS	"Two mid-century metal (copper or bronze), enamel and black lacquer panels depicting girls playing and picking fruit off a tree.  Each measures 18"" high by 12"" wide.  Black lacquer has minor surface scratches.  See images."	50.00	100.00
4	TRAY LOT COSTUME & FASHION jewellery	"An assortment of gold-tone fashion jewellery plus faux pearl strand, a pair of cultured pearl earrings, a Christmas brooch in the shape of a wreath with red and green rhinestones and a figural poodle pin.  Sold with a Towle sterling silver 3"" mirror."	20.00	40.00
6	STERLING SILVER & COIN SPOONS 15 PCS	"Fifteen sterling silver and coin teaspoons, soup and tablespoons that together weigh 12 1/2 troy ounces.  Each piece is either marked STERLING, has a hallmark or the makers name on the back.  Largest piece a tablespoon measures 7 1/2"" long, smallest pieces sterling teaspoon measures 5 1/2"" long.  Minimal surface scratches due to use, see images."	100.00	150.00
7	H&G HEINRICH PORCELAIN MARCELLA BOWLS VASES 4 PCS	"Four pieces of H&G Selb Bavaria Germany Heinrich hand painted Marcella porcelain includes; two vases and two bowls.  Tallest piece a vase measures 12 1/2"" tall by 5 3/4"" wide at the mouth.  Widest piece is a bowl 12 3/4"" wide.  Condition is good no chips, cracks or crazing.  See images.  Approx. weight 8.9 lbs."	250.00	300.00
8	GROUP OF SILVER PLATE & STERLING SERVING PIECES TRAY	"A mixed group that consists of: Silver plate - meat tray, two cordials, spoons, bottle opener and more.  Includes three sterling silver hollow handle cake/pie serves and butter knife.  Largest pieces is combination meat tray 19 1/4"" long by 15 1/4"" wide.  Smallest piece is a demitasse spoon 4 1/2"" long.  Pieces have surface scratches with some dings due to usage.  See images.  Approx. weight 7.2 lbs."	20.00	40.00
9	ESTATE LOT - US NAVAL ACADEMY & COSTUME jewellery	"A mixed estate lot which includes a US Naval Academy watch and lapel pin, plus a group of assorted  costume and fashion jewellery, religious medals, rosary beads, pens, a Stratton compact, money clips with a medical theme and more. condition generally good on all. Weight approximately 5 lbs with jewellery box."	20.00	40.00
10	ROUND HEREND PORCELAIN TRINKET BOX w/ ROSE FINIAL	"Herend porcelain round trinket box with a sculpted rose finial on the lid.  There is a small tick chip to a rose pedal.  Blue Herend hallmark is on the base with 6453/AP, 710.  Measures 3 1/4"" high by 3"" wide.  See images.  Approx. weight 4 ounces."	60.00	100.00
11	HAND BLOWN BLUE SWIRL GLASS COVERED DISH w/PONTIL	"Hand blown blue swirl glass round covered dish with a polished pontil on the base and a floral finial on the lid.  Both lid and base have a thin white accent line.  One flower on the finial is made out of fabric the others are glass.  Measures with lid 7"" high by 5 1/4"" wide.  Condition is good, no chips or cracks.  See images.  Approx. weight 1 lb."	60.00	90.00
